Region,NbMoisService,Age,StatutMarital,Adresse,Revenu,education,NbAnneesEmployeur,Retraite,Sexe,TailleFoyer,ServiceNumVert,LocMateriel,ServiceCarteAppel,ServiceSansFil,Internet,AffichageNumAppel,DoubleAppel,TransfertAppel,ConfTel,PaieElectronique,CatClient,Churn
Zone 2,41,52,Non marie(e),27,30,Niveau Bac,2,Non,Femme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,47,40,Marie(e),16,127,Bac +2/3,12,Non,Femme,4,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 2,55,39,Marie(e),15,137,Niveau Bac,20,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 2,56,50,Marie(e),1,80,Niveau Bac,24,Non,Femme,4,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 3,35,55,Non marie(e),24,30,Niveau Bac,2,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,69,51,Marie(e),11,438,Bac +2/3,23,Non,Femme,2,Non,Oui,Oui,Non,Dial-up,Oui,Non,Non,Oui,Non,Service Total,Non
Zone 2,44,39,Non marie(e),16,79,Niveau Bac,16,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 3,36,47,Marie(e),16,63,Inf au bac,23,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,28,51,Marie(e),22,40,Bac +2,10,Non,Femme,6,Oui,Non,Non,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,72,67,Marie(e),44,51,Inf au bac,34,Oui,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,16,27,Non marie(e),5,37,Bac +2,5,Non,Homme,4,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,3,43,Non marie(e),19,61,Bac +2/3,11,Non,Femme,1,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Non,Oui,Oui,Service basic,Oui
Zone 1,40,57,Marie(e),15,22,Niveau Bac,9,Non,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,16,39,Non marie(e),6,44,Bac +2/3,3,Non,Femme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,20,42,Non marie(e),4,17,Bac +2,5,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,48,43,Non marie(e),13,110,Bac +4/5,15,Non,Femme,3,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 2,64,48,Marie(e),13,91,Niveau Bac,24,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,8,46,Non marie(e),3,46,Niveau Bac,8,Non,Homme,1,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,40,38,Marie(e),10,85,Bac +2,12,Non,Homme,2,Non,Non,Non,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 2,38,71,Non marie(e),27,10,Niveau Bac,12,Oui,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,67,68,Non marie(e),28,244,Inf au bac,47,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,26,42,Non marie(e),0,80,Bac +2/3,15,Non,Femme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,41,34,Marie(e),15,83,Bac +4/5,1,Non,Femme,2,Oui,Non,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 2,2,31,Non marie(e),2,21,Inf au bac,6,Non,Homme,1,Non,Oui,Non,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Oui
Zone 3,20,48,Marie(e),29,24,Niveau Bac,3,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Oui
Zone 2,31,53,Non marie(e),2,351,Bac +2,31,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,45,52,Marie(e),4,169,Bac +2/3,29,Non,Femme,4,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,33,27,Marie(e),7,46,Niveau Bac,7,Non,Homme,4,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Non
Zone 1,10,26,Non marie(e),6,34,Bac +2,3,Non,Homme,1,Non,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,62,54,Marie(e),2,50,Bac +2/3,3,Non,Homme,2,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Oui,Non,Oui,Service Total,Oui
Zone 2,4,35,Non marie(e),16,161,Bac +4/5,6,Non,Femme,1,Oui,Oui,Non,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,42,47,Marie(e),17,212,Bac +2/3,17,Non,Homme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Non,Non,Service plus,Non
Zone 3,27,51,Marie(e),3,80,Bac +4/5,11,Non,Homme,3,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 2,38,42,Non marie(e),1,30,Bac +2/3,7,Non,Femme,1,Oui,Non,Non,Non,Aucun,Non,Oui,Non,Non,Non,Service basic,Non
Zone 3,52,61,Marie(e),3,53,Bac +4/5,1,Non,Femme,2,Non,Oui,Oui,Oui,Dial-up,Non,Non,Non,Oui,Oui,Service electronique,Non
Zone 3,35,33,Non marie(e),9,73,Bac +4/5,4,Non,Femme,1,Oui,Non,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,3,20,Marie(e),1,17,Niveau Bac,0,Non,Femme,4,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Oui,Service basic,Oui
Zone 2,17,33,Non marie(e),9,23,Bac +4/5,3,Non,Homme,1,Non,Oui,Oui,Oui,Dial-up,Oui,Oui,Non,Non,Oui,Service Total,Oui
Zone 1,55,53,Marie(e),21,34,Inf au bac,8,Non,Homme,2,Non,Non,Non,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,43,36,Marie(e),5,107,Inf au bac,19,Non,Femme,3,Oui,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 2,47,25,Marie(e),5,21,Inf au bac,1,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Oui
Zone 3,65,58,Non marie(e),30,83,Niveau Bac,16,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Oui,Non,Non,Non,Service electronique,Non
Zone 1,13,20,Non marie(e),1,17,Bac +2,0,Non,Homme,5,Non,Oui,Oui,Non,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,64,25,Marie(e),4,76,Bac +2,2,Non,Femme,6,Non,Oui,Oui,Non,Aucun,Oui,Non,Oui,Oui,Oui,Service plus,Non
Zone 2,12,24,Non marie(e),2,19,Inf au bac,0,Non,Homme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Oui
Zone 1,29,32,Marie(e),0,49,Bac +2/3,3,Non,Femme,3,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 2,23,47,Non marie(e),21,173,Bac +2,22,Non,Femme,1,Non,Non,Non,Non,Aucun,Oui,Non,Non,Oui,Oui,Service electronique,Non
Zone 2,14,35,Non marie(e),4,47,Bac +2,10,Non,Femme,1,Oui,Non,Non,Oui,Aucun,Non,Non,Oui,Oui,Oui,Service electronique,Oui
Zone 1,35,61,Non marie(e),23,41,Niveau Bac,11,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,26,39,Non marie(e),8,105,Bac +2,13,Non,Femme,1,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,13,54,Non marie(e),2,31,Bac +2/3,2,Non,Homme,1,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 2,69,40,Marie(e),13,41,Niveau Bac,17,Non,Homme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,61,50,Marie(e),30,102,Bac +2/3,9,Non,Femme,3,Non,Non,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 2,45,22,Marie(e),2,36,Bac +2/3,0,Non,Femme,5,Oui,Oui,Non,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 2,3,37,Non marie(e),13,24,Inf au bac,3,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Oui,Oui,Service basic,Non
Zone 2,53,22,Non marie(e),1,25,Bac +2/3,0,Non,Homme,2,Non,Oui,Oui,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Non
Zone 1,59,42,Non marie(e),1,68,Niveau Bac,21,Non,Femme,1,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,13,34,Non marie(e),11,20,Bac +2,0,Non,Femme,1,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,31,31,Non marie(e),4,48,Inf au bac,15,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,40,29,Marie(e),6,40,Niveau Bac,8,Non,Femme,5,Non,Non,Non,Non,Aucun,Non,Oui,Oui,Oui,Non,Service plus,Non
Zone 1,48,55,Non marie(e),15,79,Inf au bac,25,Non,Homme,1,Non,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,3,31,Non marie(e),1,28,Inf au bac,0,Non,Homme,1,Oui,Oui,Oui,Non,Dial-up,Non,Non,Oui,Non,Non,Service basic,Oui
Zone 2,51,48,Non marie(e),12,64,Niveau Bac,22,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,33,41,Non marie(e),15,37,Niveau Bac,11,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 3,14,47,Marie(e),7,48,Inf au bac,13,Non,Homme,2,Oui,Non,Non,Non,Aucun,Non,Non,Non,Oui,Non,Service basic,Non
Zone 1,17,42,Marie(e),6,131,Bac +4/5,6,Non,Homme,3,Non,Oui,Non,Oui,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,19,29,Marie(e),9,18,Niveau Bac,2,Non,Homme,3,Non,Non,Non,Non,Dial-up,Non,Non,Oui,Non,Oui,Service basic,Oui
Zone 2,58,36,Non marie(e),10,38,Niveau Bac,14,Non,Femme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 3,22,23,Non marie(e),3,37,Niveau Bac,4,Non,Femme,3,Non,Oui,Oui,Oui,Dial-up,Oui,Non,Non,Oui,Oui,Service Total,Non
Zone 2,29,31,Marie(e),1,60,Bac +2/3,6,Non,Homme,5,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,14,22,Marie(e),2,13,Bac +2,0,Non,Femme,4,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Non,Service electronique,Oui
Zone 2,70,64,Marie(e),18,98,Inf au bac,31,Non,Femme,2,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,62,52,Marie(e),2,195,Inf au bac,23,Non,Homme,2,Oui,Non,Oui,Oui,Aucun,Non,Non,Oui,Oui,Non,Service plus,Oui
Zone 2,7,35,Marie(e),0,47,Inf au bac,14,Non,Homme,5,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Oui
Zone 1,56,47,Marie(e),19,65,Niveau Bac,22,Non,Homme,3,Oui,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,50,50,Marie(e),22,150,Bac +4/5,5,Non,Femme,4,Non,Oui,Oui,Non,Dial-up,Non,Non,Oui,Non,Oui,Service electronique,Oui
Zone 2,57,39,Non marie(e),6,106,Bac +4/5,8,Non,Homme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,2,40,Non marie(e),19,51,Bac +2/3,14,Non,Femme,1,Non,Non,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service basic,Non
Zone 2,40,38,Non marie(e),17,96,Bac +2/3,0,Non,Femme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 2,6,43,Non marie(e),4,33,Bac +4/5,7,Non,Homme,2,Non,Non,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,23,25,Marie(e),6,38,Niveau Bac,1,Non,Femme,3,Oui,Oui,Oui,Non,Aucun,Non,Oui,Oui,Non,Non,Service plus,Non
Zone 3,11,32,Non marie(e),6,125,Bac +2/3,5,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Oui
Zone 1,29,37,Marie(e),13,145,Bac +4/5,0,Non,Femme,4,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Non,Service Total,Non
Zone 1,42,44,Marie(e),2,99,Niveau Bac,21,Non,Homme,3,Oui,Non,Oui,Non,Aucun,Non,Oui,Non,Oui,Non,Service plus,Non
Zone 1,20,34,Marie(e),2,22,Bac +2/3,0,Non,Femme,3,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 2,72,60,Marie(e),21,31,Inf au bac,38,Oui,Homme,2,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 1,2,36,Non marie(e),3,25,Inf au bac,6,Non,Femme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,46,25,Non marie(e),5,57,Bac +4/5,0,Non,Femme,2,Oui,Oui,Oui,Oui,Dial-up,Non,Non,Oui,Oui,Oui,Service basic,Non
Zone 2,39,51,Marie(e),21,41,Bac +4/5,20,Non,Homme,6,Oui,Oui,Oui,Oui,Dial-up,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 3,24,25,Marie(e),1,20,Bac +2,1,Non,Femme,2,Non,Oui,Non,Non,Dial-up,Oui,Non,Oui,Non,Non,Service electronique,Oui
Zone 3,59,43,Marie(e),4,101,Niveau Bac,22,Non,Femme,5,Non,Non,Oui,Non,Aucun,Non,Non,Non,Oui,Non,Service electronique,Non
Zone 1,65,37,Non marie(e),8,56,Niveau Bac,15,Non,Homme,1,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service electronique,Non
Zone 2,50,27,Marie(e),5,22,Niveau Bac,5,Non,Femme,3,Non,Non,Oui,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,57,37,Non marie(e),11,108,Bac +2/3,9,Non,Femme,1,Oui,Oui,Oui,Non,Dial-up,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 3,61,48,Non marie(e),14,115,Bac +2/3,20,Non,Femme,1,Oui,Oui,Oui,Oui,Dial-up,Oui,Non,Oui,Oui,Oui,Service Total,Non
Zone 3,34,54,Non marie(e),31,53,Bac +2/3,22,Non,Homme,1,Oui,Oui,Oui,Oui,Dial-up,Non,Non,Oui,Non,Oui,Service Total,Non
Zone 3,38,53,Non marie(e),13,242,Bac +2/3,12,Non,Homme,1,Oui,Oui,Oui,Oui,Aucun,Oui,Oui,Oui,Oui,Oui,Service Total,Non
Zone 1,3,24,Marie(e),2,20,Niveau Bac,3,Non,Femme,5,Oui,Non,Oui,Non,Dial-up,Oui,Oui,Non,Oui,Non,Service plus,Non
Zone 2,4,47,Non marie(e),5,123,Bac +2/3,11,Non,Homme,1,Non,Oui,Oui,Non,Dial-up,Non,Non,Oui,Non,Oui,Service basic,Non
Zone 2,15,35,Non marie(e),0,34,Inf au bac,12,Non,Homme,1,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
Zone 1,25,29,Marie(e),8,31,Bac +2/3,3,Non,Femme,5,Non,Oui,Non,Non,Dial-up,Non,Non,Non,Non,Oui,Service electronique,Oui
Zone 3,21,44,Non marie(e),25,47,Inf au bac,12,Non,Femme,2,Non,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 3,50,37,Marie(e),11,48,Bac +2,8,Non,Femme,2,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,65,64,Marie(e),22,13,Niveau Bac,5,Oui,Femme,3,Oui,Non,Oui,Non,Aucun,Oui,Oui,Oui,Oui,Non,Service plus,Non
Zone 2,59,52,Marie(e),18,78,Inf au bac,25,Non,Homme,2,Non,Non,Non,Non,Aucun,Non,Non,Non,Non,Non,Service basic,Non
